Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,13.800,13.800,0,,,3,14.020,14.020,1,13.690,13.690,4,14.350,14.350
1,10.730,24.540,3,0.000,24.790,4,11.090,25.120,2,11.000,24.690,5,10.970,25.330
1,10.520,35.060,3,10.620,35.420,5,11.130,36.250,2,10.550,35.250,4,10.330,35.660
2,10.340,45.400,3,10.360,45.780,5,9.960,46.210,1,10.140,45.400,4,10.150,45.810
2,10.200,55.610,3,9.950,55.740,5,9.870,56.090,1,9.990,55.390,4,10.160,55.980
2,9.510,1:05.120,4,9.810,1:05.550,5,11.870,1:07.960,1,9.540,1:04.940,3,9.210,1:05.200
3,9.530,1:14.650,5,9.980,1:15.530,4,6.830,1:14.790,1,9.280,1:14.230,2,9.170,1:14.370
4,10.320,1:24.980,5,10.130,1:25.670,3,8.920,1:23.720,2,9.160,1:23.390,1,9.000,1:23.380
4,8.340,1:33.320,5,10.170,1:35.840,3,9.190,1:32.920,2,9.170,1:32.560,1,9.180,1:32.560
