Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME
4,16.04,16.04,3,15.88,15.88,2,15.73,15.73,1,15.53,15.53
4,11.34,27.38,3,11.49,27.37,2,11.55,27.28,1,11.61,27.14
3,10.61,37.99,4,10.75,38.12,1,10.48,37.76,2,10.72,37.86
3,9.76,47.75,4,9.73,47.85,1,9.78,47.54,2,9.75,47.61
3,9.54,57.29,4,9.51,57.36,1,9.57,57.11,2,9.55,57.16
3,9.10,1:06.39,4,9.15,1:06.51,1,9.08,1:06.19,2,9.12,1:06.28
3,8.62,1:15.01,4,8.68,1:15.19,1,8.77,1:14.96,2,8.69,1:14.97
1,8.67,1:23.68,3,8.70,1:23.89,2,8.77,1:23.73,4,8.96,1:23.93
1,8.79,1:32.467,2,8.65,1:32.536,3,9.06,1:32.791,4,9.01,1:32.939
