Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
1,13.58,13.58,2,13.72,13.72,3,13.76,13.76,4,13.80,13.80,5,13.90,13.90
2,10.25,23.83,3,10.22,23.94,1,9.92,23.68,4,10.22,24.02,5,10.21,24.11
2,10.06,33.89,5,10.28,34.22,1,10.13,33.81,3,9.99,34.01,4,10.00,34.11
1,9.97,43.86,5,10.03,44.25,2,10.05,43.86,3,10.01,44.02,4,10.02,44.13
1,9.80,53.66,4,9.89,54.14,3,10.13,53.99,2,9.80,53.82,5,10.19,54.32
1,9.84,1:03.50,3,9.51,1:03.65,4,9.97,1:03.96,2,9.75,1:03.57,5,10.03,1:04.35
1,9.73,1:13.23,3,9.73,1:13.38,4,10.10,1:14.06,2,9.79,1:13.36,5,9.79,1:14.14
1,9.64,1:22.87,3,9.95,1:23.33,5,10.49,1:24.55,2,9.71,1:23.07,4,9.87,1:24.01
1,9.90,1:32.762,3,9.87,1:33.191,5,11.62,1:36.163,2,9.87,1:32.937,4,10.29,1:34.300
