You Young CHEA POSITION,You Young CHEA LAP TIME,You Young CHEA ELAPSED TIME,WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
3,13.96,13.96,2,13.88,13.88,4,13.98,13.98,5,14.06,14.06,1,13.80,13.80
5,10.69,24.65,3,10.55,24.43,2,10.37,24.35,4,10.48,24.54,1,10.48,24.28
5,10.49,35.14,1,10.35,34.78,3,10.68,35.03,4,10.57,35.11,2,10.62,34.90
4,10.41,45.55,1,10.47,45.25,3,10.40,45.43,5,10.57,45.68,2,10.46,45.36
4,10.26,55.81,1,10.18,55.43,2,10.15,55.58,5,10.30,55.98,3,10.33,55.69
4,9.96,1:05.77,1,10.05,1:05.48,2,10.00,1:05.58,5,9.93,1:05.91,3,9.98,1:05.67
5,10.03,1:15.80,1,9.98,1:15.46,2,10.00,1:15.58,3,9.74,1:15.65,4,10.03,1:15.70
5,10.14,1:25.94,1,9.82,1:25.28,3,10.23,1:25.81,2,9.74,1:25.39,4,10.18,1:25.88
5,10.43,1:36.362,1,9.95,1:35.227,3,10.46,1:36.267,2,10.00,1:35.384,4,10.46,1:36.337
