Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,12.53,12.53,4,12.81,12.81,2,12.65,12.65,3,12.69,12.69
4,10.27,22.80,1,9.90,22.71,2,10.07,22.72,3,10.09,22.79
3,9.51,32.32,1,9.54,32.26,2,9.56,32.29,4,9.53,32.33
1,9.51,41.83,2,9.69,41.95,0,,,3,9.74,42.07
1,9.19,51.03,2,9.15,51.11,3,0.00,51.13,4,9.11,51.18
1,9.46,1:00.50,3,9.52,1:00.64,2,9.44,1:00.57,4,9.45,1:00.64
1,9.34,1:09.84,3,9.39,1:10.03,2,9.42,1:09.99,4,9.45,1:10.09
1,9.01,1:18.85,3,8.96,1:18.99,4,9.00,1:19.00,2,8.86,1:18.95
2,9.22,1:28.069,1,9.07,1:28.059,4,9.83,1:28.830,3,9.36,1:28.310
