Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.738,6.738,3,6.932,6.932,2,6.810,6.810,4,7.185,7.185
1,8.692,15.430,3,8.843,15.776,2,8.865,15.675,4,8.910,16.095
1,8.440,23.870,3,8.467,24.243,2,8.383,24.058,4,8.371,24.466
2,8.572,32.442,3,8.250,32.492,1,8.230,32.287,4,8.595,33.061
2,8.717,41.159,1,8.629,41.121,3,9.154,41.441,4,8.680,41.741
