de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
2,11.05,11.05,6,11.67,11.67,1,10.88,10.88,4,11.30,11.30,5,11.42,11.42,3,11.18,11.18
3,15.01,26.06,1,13.88,25.55,2,14.98,25.86,5,14.95,26.25,6,15.03,26.45,4,14.98,26.16
3,10.00,36.06,1,9.08,34.63,2,10.05,35.91,5,9.96,36.21,6,9.88,36.33,4,9.92,36.08
5,9.72,45.78,1,8.98,43.61,2,9.58,45.49,4,9.47,45.68,6,9.56,45.89,3,9.52,45.60
6,9.74,55.52,1,9.12,52.73,2,9.58,55.07,4,9.64,55.32,5,9.53,55.42,3,9.59,55.19
6,9.72,1:05.24,1,9.40,1:02.13,2,9.70,1:04.77,4,9.69,1:05.01,5,9.70,1:05.12,3,9.70,1:04.89
6,9.69,1:14.93,1,9.45,1:11.58,2,9.65,1:14.42,4,9.70,1:14.71,5,9.70,1:14.82,3,9.67,1:14.56
6,9.42,1:24.35,1,9.39,1:20.97,2,9.41,1:23.83,4,9.34,1:24.05,5,9.34,1:24.16,3,9.36,1:23.92
6,9.22,1:33.57,1,9.45,1:30.42,2,9.21,1:33.04,3,9.09,1:33.14,5,9.21,1:33.37,4,9.23,1:33.15
6,9.24,1:42.81,1,9.53,1:39.95,2,8.94,1:41.98,3,8.97,1:42.11,5,9.00,1:42.37,4,9.07,1:42.22
6,9.55,1:52.36,1,9.79,1:49.74,2,8.90,1:50.88,3,8.88,1:50.99,5,8.93,1:51.30,4,8.88,1:51.10
6,10.18,2:02.54,1,10.08,1:59.82,2,9.01,1:59.89,3,9.01,2:00.00,5,9.20,2:00.50,4,9.04,2:00.14
6,10.51,2:13.05,4,10.02,2:09.84,1,9.30,2:09.19,2,9.46,2:09.46,5,9.74,2:10.24,3,9.39,2:09.53
6,10.83,2:23.88,4,10.11,2:19.95,1,9.61,2:18.80,2,9.46,2:18.92,5,10.22,2:20.46,3,9.80,2:19.33
