Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
2,7.184,7.184,1,6.830,6.830,3,7.230,7.230,4,7.340,7.340
3,9.627,16.811,1,9.400,16.229,2,9.349,16.578,4,9.532,16.872
4,9.447,26.257,1,9.267,25.495,2,9.051,25.629,3,9.284,26.155
4,9.371,35.628,1,9.378,34.873,2,9.796,35.424,3,9.375,35.530
4,9.92,45.546,1,10.12,44.985,2,9.78,45.197,3,9.87,45.400
