John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
3,7.47,7.47,5,8.10,8.10,4,7.66,7.66,1,7.26,7.26,2,7.27,7.27
5,16.72,24.19,4,9.27,17.37,3,9.18,16.84,1,9.41,16.67,2,9.41,16.68
5,12.33,36.52,4,8.56,25.93,3,8.53,25.37,1,8.46,25.13,2,8.45,25.13
5,11.71,48.23,4,8.49,34.42,3,8.52,33.89,1,8.31,33.44,2,8.31,33.44
4,11.82,1:00.045,0,,PEN,1,8.43,42.312,3,9.58,43.018,2,9.05,42.490
