Evelien van KERCKVOORDE POSITION,Evelien van KERCKVOORDE LAP TIME,Evelien van KERCKVOORDE ELAPSED TIME,Milada DOSLA POSITION,Milada DOSLA LAP TIME,Milada DOSLA ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,Aurelie LEVEQUE POSITION,Aurelie LEVEQUE LAP TIME,Aurelie LEVEQUE ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME
2,15.35,15.35,3,15.47,15.47,1,15.25,15.25,4,15.59,15.59,5,15.70,15.70
2,12.16,27.51,3,12.17,27.64,1,12.15,27.40,4,12.08,27.67,5,12.11,27.81
1,10.67,38.18,2,10.72,38.36,3,11.02,38.42,4,10.81,38.48,4,10.67,38.48
1,10.89,49.07,2,10.82,49.18,5,11.23,49.65,4,10.88,49.36,3,10.79,49.27
1,10.75,59.82,2,10.76,59.94,5,10.81,1:00.46,4,10.85,1:00.21,3,10.86,1:00.13
1,10.27,1:10.09,2,10.26,1:10.20,5,11.06,1:11.52,4,10.27,1:10.48,3,10.22,1:10.35
2,10.14,1:20.23,1,9.99,1:20.19,5,11.56,1:23.08,4,10.33,1:20.81,3,10.36,1:20.71
2,10.02,1:30.25,1,9.76,1:29.95,5,11.94,1:35.02,4,10.69,1:31.50,3,10.64,1:31.35
2,10.36,1:40.61,1,10.22,1:40.17,5,12.63,1:47.65,4,10.90,1:42.40,3,10.92,1:42.27
