SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME
1,7.47,7.47,4,8.14,8.14,3,8.09,8.09,2,7.76,7.76
1,9.90,17.37,4,10.93,19.07,2,9.60,17.69,3,10.81,18.57
1,9.31,26.68,4,9.75,28.82,2,9.30,26.99,3,10.13,28.70
1,9.39,36.07,4,10.43,39.25,2,9.12,36.11,3,10.26,38.96
2,9.54,45.609,4,10.41,49.657,1,9.40,45.503,3,10.40,49.360
