YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,7.34,7.34,1,7.00,7.00,2,7.06,7.06,4,7.49,7.49
3,9.52,16.86,1,9.56,16.56,2,9.65,16.72,4,9.48,16.98
3,9.16,26.03,2,9.22,25.79,1,9.07,25.79,4,9.10,26.08
3,9.27,35.30,1,9.20,34.99,2,9.37,35.16,4,9.27,35.36
2,9.41,44.708,1,9.65,44.636,4,9.81,44.970,3,9.49,44.849
