KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Paulius GLUSINAS POSITION,Paulius GLUSINAS LAP TIME,Paulius GLUSINAS ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,7.88,7.88,3,8.08,8.08,5,8.10,8.10,2,8.00,8.00,6,8.34,8.34,4,8.09,8.09
2,11.74,19.63,3,11.83,19.91,6,12.13,20.23,1,11.59,19.59,5,11.85,20.20,4,11.83,19.93
3,12.43,32.06,4,12.38,32.30,1,11.65,31.88,2,12.36,31.96,5,12.21,32.41,6,12.54,32.48
1,10.99,43.06,4,10.94,43.25,2,11.19,43.08,3,11.23,43.20,5,10.96,43.38,6,11.47,43.95
3,10.75,53.82,1,10.07,53.32,2,10.63,53.72,5,10.70,53.90,4,10.51,53.89,6,10.09,54.05
4,10.77,1:04.60,3,11.14,1:04.47,1,10.46,1:04.18,2,10.51,1:04.42,5,10.87,1:04.77,6,10.82,1:04.88
3,10.57,1:15.17,2,10.63,1:15.10,1,10.82,1:15.01,4,10.86,1:15.28,6,10.78,1:15.55,5,10.47,1:15.36
2,10.02,1:25.19,3,10.16,1:25.26,1,10.03,1:25.04,5,10.27,1:25.55,6,10.18,1:25.73,4,10.02,1:25.38
2,9.62,1:34.81,3,9.91,1:35.18,1,9.65,1:34.70,4,9.83,1:35.38,6,9.94,1:35.68,5,10.01,1:35.39
2,9.76,1:44.58,3,9.83,1:45.01,1,9.70,1:44.40,5,10.26,1:45.65,6,10.05,1:45.73,4,9.81,1:45.20
2,9.78,1:54.37,3,9.71,1:54.73,1,9.75,1:54.16,6,10.57,1:56.22,5,10.17,1:55.90,4,10.03,1:55.23
2,9.58,2:03.95,3,10.10,2:04.83,1,9.69,2:03.85,5,9.61,2:05.84,6,10.20,2:06.10,4,10.29,2:05.53
2,9.79,2:13.74,3,10.22,2:15.05,1,9.87,2:13.73,6,11.80,2:17.64,5,10.35,2:16.46,4,10.80,2:16.33
0,,DQ,2,10.49,2:25.532,1,10.08,2:23.802,5,11.37,2:29.009,4,11.16,2:27.612,3,11.27,2:27.593
