Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
3,12.60,,2,12.50,12.50,4,12.73,12.73,1,12.42,12.42,5,12.84,12.84
3,9.87,,1,9.72,22.22,5,10.04,22.77,2,9.92,22.34,4,9.75,22.59
3,9.58,,2,9.68,31.90,5,9.55,32.32,1,9.53,31.87,4,9.61,32.20
4,9.59,,2,9.54,41.44,5,9.45,41.77,1,9.48,41.35,3,9.30,41.50
4,9.29,,2,9.35,50.79,5,9.34,51.11,1,9.34,50.69,3,9.35,50.85
4,9.54,,2,9.55,1:00.34,5,9.50,1:00.61,1,9.54,1:00.23,3,9.54,1:00.39
3,9.43,,2,9.44,1:09.78,4,9.42,1:10.03,1,9.45,1:09.68,5,10.22,1:10.61
3,9.41,,2,9.44,1:19.22,4,9.44,1:19.47,1,9.44,1:19.12,5,9.78,1:20.39
3,9.41,,2,9.38,1:28.60,4,9.35,1:28.82,1,9.37,1:28.49,5,9.75,1:30.14
