Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
2,13.90,13.90,4,14.24,14.24,3,14.03,14.03,1,13.79,13.79
2,11.32,25.22,4,11.19,25.43,3,11.32,25.35,1,11.35,25.14
2,10.68,35.90,3,10.58,36.01,4,10.76,36.11,1,10.72,35.86
3,9.61,45.51,1,9.16,45.17,4,9.60,45.71,2,9.51,45.37
3,9.03,54.54,1,9.13,54.30,4,9.27,54.98,2,9.02,54.39
3,9.12,1:03.66,1,9.14,1:03.44,4,9.37,1:04.35,2,9.15,1:03.54
3,9.09,1:12.75,1,9.05,1:12.49,4,9.72,1:14.07,2,9.04,1:12.58
3,9.22,1:21.97,1,9.14,1:21.63,4,10.21,1:24.28,2,9.15,1:21.73
3,9.41,1:31.373,1,9.43,1:31.054,4,10.98,1:35.256,2,9.41,1:31.139
