HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
5,8.66,8.66,2,8.48,8.48,1,8.31,8.31,3,8.49,8.49,4,8.54,8.54,6,8.85,8.85
5,11.85,20.51,4,11.90,20.38,2,11.90,20.21,1,11.58,20.07,3,11.81,20.36,6,11.78,20.64
5,11.97,32.49,1,11.74,32.12,3,12.00,32.21,2,12.10,32.17,4,12.11,32.47,6,12.06,32.70
1,10.94,43.43,4,11.60,43.72,3,11.48,43.70,2,11.51,43.68,0,,,5,11.25,43.95
1,11.44,54.88,2,11.20,54.92,4,11.35,55.05,3,11.30,54.99,6,0.00,1:06.16,5,11.28,55.23
2,11.02,1:05.91,1,10.92,1:05.85,3,10.99,1:06.05,4,11.13,1:06.13,0,,,5,11.04,1:06.28
3,11.16,1:17.08,1,11.09,1:16.95,4,11.13,1:17.18,2,10.82,1:16.96,5,0.00,1:17.26,6,11.04,1:17.33
4,10.33,1:27.41,3,10.31,1:27.27,2,10.02,1:27.21,1,10.23,1:27.19,5,10.17,1:27.44,6,10.14,1:27.48
1,9.49,1:36.91,3,9.81,1:37.08,2,9.70,1:36.91,4,9.95,1:37.15,5,9.77,1:37.21,6,9.91,1:37.39
2,9.95,1:46.86,4,9.97,1:47.06,1,9.86,1:46.78,5,9.95,1:47.11,3,9.79,1:47.00,6,9.94,1:47.33
4,9.96,1:56.82,1,9.60,1:56.67,3,10.04,1:56.82,2,9.66,1:56.77,5,10.22,1:57.23,6,10.02,1:57.36
3,9.40,2:06.23,1,9.29,2:05.96,6,27.06,2:23.89,2,9.28,2:06.06,4,9.60,2:06.83,5,9.64,2:07.00
2,8.87,2:15.10,1,9.01,2:14.98,6,17.05,2:40.94,3,9.05,2:15.12,4,10.03,2:16.86,5,9.98,2:16.99
2,9.27,2:24.363,1,9.26,2:24.237,6,15.17,2:56.102,3,9.35,2:24.470,4,10.26,2:27.114,5,10.39,2:27.376
