LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
4,9.57,41.83,5,10.10,42.09,2,9.45,41.61,3,9.21,41.75,1,9.39,41.42
3,9.41,51.24,5,9.35,51.44,4,9.72,51.33,2,9.46,51.21,1,9.53,50.95
2,8.87,1:00.11,4,9.03,1:00.48,5,9.19,1:00.53,3,8.97,1:00.19,1,8.99,59.95
1,9.10,1:09.22,4,9.11,1:09.59,5,9.14,1:09.67,3,9.11,1:09.31,2,9.30,1:09.25
2,9.11,1:18.33,4,9.21,1:18.80,5,9.27,1:18.95,1,8.83,1:18.15,3,9.24,1:18.50
1,9.30,1:27.629,4,9.93,1:28.722,0,,DQ,2,9.69,1:27.836,3,9.58,1:28.080
