Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,SON Hakyung POSITION,SON Hakyung LAP TIME,SON Hakyung ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,7.40,7.40,2,7.52,7.52,3,7.59,7.59,4,7.74,7.74
1,9.71,17.11,2,9.67,17.19,3,9.67,17.26,4,9.66,17.40
1,9.15,26.26,2,9.10,26.29,3,9.16,26.42,4,9.12,26.52
2,9.30,35.56,1,9.21,35.50,4,27.32,53.74,3,9.21,35.73
3,9.60,45.154,1,9.54,45.031,0,,notime,2,9.40,45.126
