JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME
1,12.47,12.47,2,12.63,12.63,3,12.82,12.82
1,9.47,21.94,2,9.41,22.04,3,9.60,22.42
1,9.72,31.66,2,9.69,31.73,3,9.48,31.90
1,9.68,41.34,2,9.66,41.39,3,9.74,41.64
1,9.90,51.24,2,9.87,51.26,3,9.73,51.37
2,9.89,1:01.13,1,9.69,1:00.95,3,9.87,1:01.24
2,9.18,1:10.31,1,9.25,1:10.20,3,9.29,1:10.53
1,9.38,1:19.69,2,9.60,1:19.80,3,9.44,1:19.97
1,9.59,1:29.28,2,9.59,1:29.39,3,9.58,1:29.55
1,9.60,1:38.88,2,9.60,1:38.99,3,9.56,1:39.11
1,9.52,1:48.40,2,9.48,1:48.47,3,9.58,1:48.69
1,9.50,1:57.90,2,9.62,1:58.09,3,9.56,1:58.25
1,9.20,2:07.10,2,9.32,2:07.41,3,9.31,2:07.56
1,9.24,2:16.34,2,9.23,2:16.64,3,9.40,2:16.96
1,9.42,2:25.76,2,9.21,2:25.85,3,9.42,2:26.38
1,9.52,2:35.28,2,9.54,2:35.39,3,9.38,2:35.76
1,9.46,2:44.74,2,9.52,2:44.91,3,9.59,2:45.35
3,16.11,3:00.85,1,9.99,2:54.90,2,9.60,2:54.95
3,9.71,3:10.56,1,9.63,3:04.53,2,9.77,3:04.72
3,9.42,3:19.98,1,9.55,3:14.08,2,9.75,3:14.47
3,9.45,3:29.43,1,9.73,3:23.81,2,9.71,3:24.18
3,9.53,3:38.96,1,9.78,3:33.59,2,9.52,3:33.70
3,9.64,3:48.60,1,9.87,3:43.46,2,9.86,3:43.56
3,9.85,3:58.45,1,9.98,3:53.44,2,10.20,3:53.76
3,9.98,4:08.43,1,10.02,4:03.46,2,9.80,4:03.56
3,9.54,4:17.97,1,9.75,4:13.21,2,10.00,4:13.56
3,9.74,4:27.710,1,9.86,4:23.07,2,10.43,4:23.99
