WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
1,16.14,16.14,2,16.26,16.26,3,16.37,16.37,4,16.51,16.51
1,12.46,28.60,3,12.47,28.73,2,12.33,28.70,4,12.35,28.86
1,11.87,40.47,3,11.93,40.66,2,11.89,40.59,4,11.92,40.78
3,11.00,51.47,2,10.79,51.45,1,10.79,51.38,4,10.91,51.69
3,10.05,1:01.52,1,9.82,1:01.27,2,10.03,1:01.41,4,10.06,1:01.75
3,9.48,1:11.00,1,9.51,1:10.78,2,9.51,1:10.92,4,10.16,1:11.91
3,9.46,1:20.46,2,9.54,1:20.32,1,9.39,1:20.31,4,10.65,1:22.56
2,9.64,1:30.10,3,9.97,1:30.29,1,9.71,1:30.02,4,11.65,1:34.21
2,9.89,1:39.99,3,9.99,1:40.28,1,9.87,1:39.89,4,12.26,1:46.47
