Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
2,12.78,12.78,4,13.07,13.07,1,12.62,12.62,5,13.19,13.19,3,12.95,12.95
4,9.79,22.57,3,9.48,22.55,1,9.69,22.31,5,9.56,22.75,2,9.51,22.46
4,9.54,32.11,3,9.45,32.00,1,9.50,31.81,5,9.46,32.21,2,9.45,31.91
3,9.33,41.44,2,9.39,41.39,1,9.56,41.37,5,9.46,41.67,4,9.54,41.45
2,9.46,50.90,1,9.44,50.83,5,9.91,51.28,4,9.49,51.16,3,9.59,51.04
2,9.60,1:00.50,1,9.64,1:00.47,5,9.73,1:01.01,4,9.74,1:00.90,3,9.57,1:00.61
1,9.38,1:09.88,2,9.80,1:10.27,4,9.56,1:10.57,5,9.93,1:10.83,3,9.78,1:10.39
1,9.58,1:19.46,3,10.09,1:20.36,2,9.60,1:20.17,5,10.26,1:21.09,4,9.98,1:20.37
1,9.71,1:29.162,3,10.22,1:30.571,2,9.78,1:29.941,5,10.60,1:31.686,4,10.80,1:31.162
