HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME
2,12.71,12.71,5,13.09,13.09,3,12.84,12.84,1,12.69,12.69,6,13.30,13.30,4,12.97,12.97
1,9.51,22.22,5,9.53,22.62,2,9.52,22.36,3,9.77,22.46,6,9.45,22.75,4,9.57,22.54
1,9.38,31.60,5,9.37,31.99,1,9.24,31.60,3,9.32,31.78,6,9.41,32.16,4,9.35,31.89
2,9.20,40.80,5,9.03,41.02,1,9.09,40.69,3,9.10,40.88,6,9.05,41.21,4,9.11,41.00
1,8.93,49.73,4,9.09,50.11,2,9.14,49.83,3,9.07,49.95,6,9.17,50.38,5,9.24,50.24
1,9.02,58.75,4,8.95,59.06,2,9.01,58.84,3,8.97,58.92,6,9.25,59.63,5,8.99,59.23
1,9.19,1:07.94,3,9.08,1:08.14,2,9.19,1:08.03,4,9.26,1:08.18,6,9.68,1:09.31,5,9.04,1:08.27
1,9.26,1:17.20,3,9.31,1:17.45,2,9.26,1:17.29,4,9.53,1:17.71,6,10.22,1:19.53,5,9.54,1:17.81
1,9.12,1:26.32,2,9.27,1:26.72,6,26.66,1:43.95,3,9.59,1:27.30,5,10.80,1:30.33,4,9.73,1:27.54
