Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
3,10.27,10.27,1,10.08,10.08,5,10.53,10.53,4,10.39,10.39,2,10.08,10.08
3,13.55,23.82,2,13.56,23.64,5,13.48,24.01,4,13.43,23.82,1,13.42,23.50
4,12.68,36.50,3,12.58,36.22,5,12.60,36.61,1,12.18,36.00,2,12.59,36.09
5,12.37,48.87,3,12.44,48.66,4,12.18,48.79,1,12.43,48.43,2,12.46,48.55
5,12.53,1:01.40,2,12.30,1:00.96,4,12.40,1:01.19,1,12.47,1:00.90,3,12.47,1:01.02
3,11.26,1:12.66,1,11.49,1:12.45,5,11.59,1:12.78,2,11.68,1:12.58,4,11.68,1:12.70
1,10.23,1:22.89,2,10.53,1:22.98,4,10.42,1:23.20,3,10.50,1:23.08,5,10.51,1:23.21
2,10.54,1:33.43,4,10.78,1:33.76,1,9.99,1:33.19,3,10.50,1:33.58,5,10.69,1:33.90
2,10.12,1:43.55,4,10.03,1:43.79,1,10.28,1:43.47,3,10.05,1:43.63,5,10.19,1:44.09
2,10.43,1:53.98,4,10.45,1:54.24,1,10.43,1:53.90,3,10.46,1:54.09,5,10.34,1:54.43
2,10.35,2:04.33,4,10.38,2:04.62,1,10.31,2:04.21,3,10.36,2:04.45,5,10.51,2:04.94
2,10.06,2:14.39,4,10.25,2:14.87,1,10.06,2:14.27,3,10.09,2:14.54,5,10.99,2:15.93
1,9.66,2:24.05,4,10.72,2:25.59,2,9.96,2:24.23,3,10.17,2:24.71,5,11.73,2:27.66
1,9.99,2:34.039,4,11.27,2:36.853,2,10.23,2:34.451,3,10.71,2:35.416,5,12.49,2:40.141
