Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME
2,8.591,8.591,4,8.640,8.640,1,8.561,8.561,5,8.821,8.821,3,8.626,8.626
3,12.079,20.669,2,11.987,20.627,5,12.414,20.975,4,12.022,20.843,1,11.772,20.398
1,11.374,32.043,3,11.657,32.284,5,11.580,32.555,4,11.502,32.345,2,11.694,32.092
2,11.252,43.294,3,11.023,43.307,5,10.819,43.373,4,11.019,43.363,1,11.123,43.214
5,10.457,53.751,1,10.314,53.621,3,10.368,53.741,4,10.388,53.750,2,10.477,53.691
2,10.426,1:04.176,5,10.955,1:04.575,3,10.491,1:04.232,1,10.417,1:04.167,4,10.620,1:04.311
3,10.647,1:14.823,4,10.281,1:14.856,1,10.316,1:14.548,2,10.384,1:14.551,5,10.616,1:14.927
4,9.957,1:24.780,5,10.092,1:24.947,1,9.984,1:24.531,2,10.082,1:24.633,3,9.839,1:24.766
3,10.151,1:34.930,5,10.125,1:35.072,1,10.191,1:34.722,2,10.158,1:34.790,4,10.220,1:34.985
3,9.925,1:44.855,5,10.212,1:45.283,2,9.982,1:44.703,1,9.846,1:44.635,4,9.971,1:44.956
2,9.809,1:54.664,3,9.511,1:54.794,4,10.113,1:54.816,1,9.996,1:54.631,5,9.936,1:54.892
2,10.164,2:04.828,5,11.563,2:06.357,3,10.049,2:04.865,1,10.061,2:04.692,4,10.138,2:05.030
1,10.281,2:15.108,5,11.509,2:17.866,4,10.801,2:15.665,2,10.463,2:15.155,3,10.243,2:15.272
1,10.49,2:25.595,5,12.24,2:30.103,4,11.08,2:26.736,2,10.46,2:25.611,3,10.55,2:25.814
