CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
4,13.97,13.97,1,13.74,13.74,5,14.21,14.21,3,13.89,13.89,2,13.83,
4,10.24,24.21,2,10.15,23.89,5,10.14,24.35,1,9.94,23.83,3,10.19,
4,10.27,34.48,2,10.33,34.22,5,10.26,34.61,1,10.30,34.13,3,10.31,
4,10.31,44.79,2,10.33,44.55,5,10.31,44.92,1,10.31,44.44,2,10.22,
3,9.85,54.64,4,10.17,54.72,5,9.95,54.87,1,10.04,54.48,2,10.08,
1,9.44,1:04.08,4,9.75,1:04.47,5,9.71,1:04.58,2,9.77,1:04.25,3,9.74,
1,9.77,1:13.85,3,9.65,1:14.12,4,9.57,1:14.15,2,9.73,1:13.98,5,9.91,
1,9.65,1:23.50,4,9.78,1:23.90,2,9.56,1:23.71,3,9.76,1:23.74,5,10.49,
1,9.79,1:33.29,4,10.01,1:33.91,2,9.64,1:33.35,3,10.01,1:33.731,5,11.05,
