Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME
6,9.598,9.598,1,9.167,9.167,3,9.346,9.346,2,9.253,9.253,4,9.522,9.522,5,9.545,9.545
1,11.825,21.423,2,12.791,21.958,5,13.041,22.387,3,12.706,21.959,6,13.114,22.636,4,12.612,22.157
1,11.000,32.423,2,10.814,32.772,5,10.683,33.069,3,10.817,32.775,6,10.600,33.236,4,10.726,32.882
1,11.052,43.475,2,10.980,43.751,5,11.165,44.234,3,11.122,43.896,6,11.171,44.406,4,11.142,44.024
1,10.873,54.348,2,10.860,54.611,5,10.762,54.995,3,10.806,54.702,6,10.797,55.203,4,10.779,54.803
1,10.871,1:05.218,2,10.792,1:05.403,5,10.608,1:05.603,3,10.779,1:05.480,6,10.598,1:05.800,4,10.799,1:05.602
1,10.923,1:16.141,3,10.824,1:16.226,4,10.752,1:16.354,2,10.717,1:16.197,6,10.950,1:16.750,5,10.920,1:16.521
5,10.769,1:26.909,3,10.433,1:26.659,2,10.244,1:26.598,1,10.300,1:26.496,6,10.353,1:27.103,4,10.254,1:26.774
6,10.470,1:37.379,3,9.991,1:36.649,1,9.892,1:36.489,2,10.112,1:36.608,5,10.061,1:37.163,4,10.075,1:36.849
6,10.485,1:47.863,3,10.077,1:46.726,1,9.978,1:46.466,2,9.974,1:46.581,4,9.846,1:47.009,5,10.179,1:47.027
6,10.781,1:58.644,3,9.806,1:56.532,1,9.758,1:56.223,2,9.842,1:56.423,4,9.870,1:56.878,5,10.056,1:57.083
6,11.043,2:09.687,3,9.858,2:06.390,1,9.911,2:06.134,2,9.829,2:06.251,4,9.768,2:06.646,5,10.262,2:07.344
6,11.391,2:21.078,3,10.046,2:16.435,1,10.086,2:16.219,2,10.110,2:16.361,4,10.166,2:16.811,5,10.667,2:18.010
6,12.27,2:33.343,3,10.37,2:26.800,1,10.37,2:26.582,2,10.27,2:26.630,4,10.28,2:27.090,5,11.29,2:29.300
