MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,You Young CHEA POSITION,You Young CHEA LAP TIME,You Young CHEA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
4,9.12,9.12,2,8.81,8.81,3,8.98,8.98,1,8.69,8.69,5,9.27,9.27,6,9.44,9.44
4,13.32,22.44,2,13.36,22.17,3,13.32,22.30,1,13.37,22.06,5,13.29,22.56,6,13.22,22.66
4,13.30,35.74,2,13.31,35.48,3,13.30,35.60,1,13.29,35.35,5,13.32,35.88,6,13.41,36.07
2,12.48,48.22,3,12.75,48.23,4,12.75,48.35,1,12.77,48.12,5,12.65,48.53,6,12.59,48.66
1,11.02,59.24,3,11.15,59.38,4,11.13,59.48,2,11.17,59.29,5,11.05,59.58,6,10.99,59.65
2,11.31,1:10.55,4,11.24,1:10.62,5,11.26,1:10.74,1,11.15,1:10.44,3,11.01,1:10.59,6,11.26,1:10.91
2,10.15,1:20.70,4,10.16,1:20.78,5,10.14,1:20.88,1,10.12,1:20.56,3,10.17,1:20.76,6,10.12,1:21.03
2,10.20,1:30.90,4,10.23,1:31.01,6,10.31,1:31.19,1,10.25,1:30.81,5,10.33,1:31.09,3,9.97,1:31.00
5,9.93,1:40.83,6,9.88,1:40.89,4,9.64,1:40.83,2,9.77,1:40.58,3,9.64,1:40.73,1,9.42,1:40.42
5,9.96,1:50.79,6,9.90,1:50.79,4,9.58,1:50.41,2,9.63,1:50.21,3,9.58,1:50.31,1,9.72,1:50.14
6,10.34,2:01.13,5,9.67,2:00.46,4,9.86,2:00.27,2,9.82,2:00.03,3,9.81,2:00.12,1,9.80,1:59.94
6,10.84,2:11.97,5,9.67,2:10.13,4,9.68,2:09.95,2,9.70,2:09.73,3,9.70,2:09.82,1,9.69,2:09.63
6,11.46,2:23.43,5,9.67,2:19.80,4,9.65,2:19.60,2,9.73,2:19.46,3,9.68,2:19.50,1,9.63,2:19.26
6,11.96,2:35.384,5,9.90,2:29.700,4,9.89,2:29.482,3,9.95,2:29.401,2,9.87,2:29.367,1,9.74,2:28.992
