Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Gabriella HACHEM POSITION,Gabriella HACHEM LAP TIME,Gabriella HACHEM ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME
1,13.75,13.75,3,13.96,13.96,2,13.86,13.86,4,13.97,13.97
1,9.97,23.72,4,10.12,24.08,2,9.97,23.83,3,9.97,23.94
1,9.97,33.69,4,9.89,33.97,2,9.99,33.82,3,9.95,33.89
1,9.85,43.54,4,9.95,43.92,2,9.82,43.64,3,9.84,43.73
1,9.54,53.08,4,9.76,53.68,2,9.53,53.17,3,9.59,53.32
1,9.47,1:02.55,4,9.79,1:03.47,2,9.47,1:02.64,3,9.50,1:02.82
1,9.55,1:12.10,4,10.05,1:13.52,2,9.51,1:12.15,3,9.56,1:12.38
2,9.83,1:21.93,4,10.45,1:23.97,1,9.55,1:21.70,3,9.76,1:22.14
2,10.10,1:32.03,4,10.78,1:34.732,1,9.77,1:31.47,3,9.96,1:32.10
