Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
2,12.85,12.85,4,12.99,12.99,3,12.98,12.98,1,12.73,12.73
4,10.26,23.11,3,10.06,23.05,1,9.88,22.86,2,10.28,23.01
4,9.32,32.43,3,9.36,32.41,2,9.45,32.31,1,9.23,32.24
4,9.76,42.19,3,9.73,42.14,2,9.78,42.09,1,9.74,41.98
4,9.58,51.77,3,9.60,51.74,2,9.64,51.73,1,9.69,51.67
3,9.38,1:01.15,4,9.47,1:01.21,1,9.29,1:01.02,2,9.36,1:01.03
2,9.27,1:10.42,3,9.24,1:10.45,4,9.44,1:10.46,1,9.29,1:10.32
2,9.20,1:19.62,4,9.20,1:19.65,3,9.18,1:19.64,1,9.13,1:19.45
3,9.37,1:28.982,4,9.35,1:28.997,2,9.27,1:28.902,1,9.39,1:28.835
