MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,13.88,13.88,3,14.01,14.01,4,14.10,14.10,5,14.28,14.28,1,13.76,13.76
2,10.90,24.78,3,10.89,24.90,4,10.90,25.00,5,10.85,25.13,1,10.87,24.63
2,10.15,34.93,3,10.13,35.03,4,10.16,35.16,5,10.12,35.25,1,10.18,34.81
1,9.58,44.51,3,9.74,44.77,4,9.74,44.90,5,9.83,45.08,2,9.83,44.64
1,9.45,53.96,3,9.37,54.14,4,9.39,54.29,5,9.40,54.48,2,9.42,54.06
2,9.28,1:03.24,2,9.10,1:03.24,4,9.21,1:03.50,5,9.76,1:04.24,1,9.07,1:03.13
3,9.34,1:12.58,1,9.08,1:12.32,4,9.20,1:12.70,5,10.29,1:14.53,2,9.24,1:12.37
3,9.30,1:21.88,1,8.99,1:21.31,4,9.31,1:22.01,5,10.70,1:25.23,2,9.27,1:21.64
3,9.38,1:31.26,1,9.05,1:30.36,4,9.35,1:31.36,5,11.17,1:36.40,2,9.42,1:31.06
