JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
6,9.770,9.770,2,9.100,9.100,3,9.350,9.350,1,8.950,8.950,5,9.590,9.590,4,9.460,9.460
6,24.800,34.580,2,12.840,21.950,4,13.060,22.410,1,12.280,21.230,5,12.840,22.440,3,12.890,22.360
0,,,2,11.880,33.830,3,11.860,34.280,1,12.140,33.380,5,12.070,34.510,4,12.000,34.360
6,0.000,46.180,2,11.720,45.560,3,11.620,45.900,1,11.650,45.040,5,11.560,46.070,4,11.570,45.940
6,11.590,57.770,2,11.640,57.200,4,11.800,57.710,1,11.500,56.550,5,11.650,57.730,3,11.630,57.570
6,11.400,1:09.170,2,11.470,1:08.680,4,11.290,1:09.010,1,11.760,1:08.320,5,11.430,1:09.160,3,11.180,1:08.760
6,11.320,1:20.490,2,11.130,1:19.810,4,11.250,1:20.260,1,10.780,1:19.100,5,11.260,1:20.430,3,11.130,1:19.890
6,10.760,1:31.250,3,10.910,1:30.730,4,10.690,1:30.950,1,11.260,1:30.370,5,10.740,1:31.170,2,10.790,1:30.690
5,10.470,1:41.730,3,10.730,1:41.470,4,10.600,1:41.550,1,10.680,1:41.060,6,10.550,1:41.730,2,10.680,1:41.370
6,10.960,1:52.690,2,10.760,1:52.230,4,10.930,1:52.490,1,10.570,1:51.630,5,10.770,1:52.500,3,10.930,1:52.310
6,10.670,2:03.360,2,10.650,2:02.890,3,10.630,2:03.120,1,10.210,2:01.840,5,10.830,2:03.340,4,11.020,2:03.330
4,10.020,2:13.390,2,10.160,2:13.060,5,10.290,2:13.410,1,10.380,2:12.220,3,9.840,2:13.180,6,11.490,2:14.830
2,9.520,2:22.910,5,10.200,2:23.260,4,9.830,2:23.250,1,10.260,2:22.490,3,9.750,2:22.940,6,12.570,2:27.400
1,9.600,2:32.520,4,10.330,2:33.590,5,13.340,2:36.600,3,10.440,2:32.930,2,9.960,2:32.900,6,13.330,2:40.730
