Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
1,10.85,10.85,3,11.15,11.15,6,11.53,11.53,2,10.95,10.95,4,11.27,11.27,5,11.32,11.32
3,13.35,24.20,4,13.26,24.41,6,13.13,24.66,2,13.09,24.04,1,12.67,23.94,5,13.21,24.53
3,12.09,36.29,5,12.14,36.55,6,11.99,36.65,2,12.07,36.11,1,12.08,36.02,4,11.87,36.40
3,12.13,48.42,5,12.12,48.67,6,12.16,48.81,2,12.20,48.31,1,12.22,48.24,4,12.12,48.52
3,12.28,1:00.70,5,12.26,1:00.93,6,12.20,1:01.01,2,12.25,1:00.56,1,12.22,1:00.46,4,12.25,1:00.77
4,12.12,1:12.82,4,11.89,1:12.82,3,11.78,1:12.79,1,12.10,1:12.66,2,12.22,1:12.68,6,12.18,1:12.95
1,10.33,1:23.15,5,11.13,1:23.95,4,10.96,1:23.75,2,10.65,1:23.31,3,10.87,1:23.55,6,11.09,1:24.04
1,10.43,1:33.58,5,10.01,1:33.96,4,10.10,1:33.85,2,10.33,1:33.64,3,10.20,1:33.75,6,9.99,1:34.03
1,10.39,1:43.97,4,10.20,1:44.16,3,10.28,1:44.13,2,10.37,1:44.01,5,10.42,1:44.17,6,10.34,1:44.37
1,9.80,1:53.77,4,9.97,1:54.13,3,9.85,1:53.98,2,9.89,1:53.90,5,10.17,1:54.34,6,10.07,1:54.44
1,9.89,2:03.66,4,9.92,2:04.05,2,9.70,2:03.68,3,10.05,2:03.95,6,10.25,2:04.59,5,9.97,2:04.41
2,9.93,2:13.59,4,10.21,2:14.26,1,9.81,2:13.49,3,10.30,2:14.25,6,10.40,2:14.99,5,9.99,2:14.40
2,10.08,2:23.67,3,9.86,2:24.12,1,10.04,2:23.53,4,10.47,2:24.72,6,11.21,2:26.20,5,10.50,2:24.90
2,10.16,2:33.822,3,10.08,2:34.192,1,10.19,2:33.695,4,10.76,2:35.472,6,12.31,2:38.479,5,10.78,2:35.657
