Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Atiip NAVARAT POSITION,Atiip NAVARAT LAP TIME,Atiip NAVARAT ELAPSED TIME
1,7.06,7.06,2,7.21,7.21,3,7.33,7.33,4,7.68,7.68,5,8.39,8.39
1,9.31,16.37,2,9.25,16.46,3,9.28,16.61,4,9.39,17.07,5,10.57,18.96
1,8.68,25.05,2,8.62,25.08,3,8.79,25.40,4,9.05,26.12,5,10.12,29.08
2,8.99,34.04,1,8.80,33.88,3,9.04,34.44,4,9.21,35.33,5,10.25,39.33
2,8.89,42.93,1,8.98,42.86,3,9.25,43.69,4,9.34,44.657,5,10.43,49.745
