LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME
1,6.79,6.79,2,6.92,6.92,3,7.02,7.02,5,7.15,7.15,4,7.14,7.14
1,8.81,15.60,2,8.78,15.70,3,8.77,15.79,4,8.72,15.87,5,8.82,15.96
1,8.34,23.94,2,8.35,24.05,3,8.31,24.10,4,8.33,24.20,5,8.33,24.29
1,8.28,32.22,2,8.27,32.32,3,8.40,32.50,4,8.39,32.59,5,8.40,32.69
0,8.46,40.68,0,8.41,40.73,3,8.32,40.82,4,8.30,40.89,5,8.68,41.372
