SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME
1,10.97,10.97,3,11.32,11.32,2,11.14,11.14,5,11.68,11.68,4,11.48,11.48,6,11.84,11.84
2,15.14,26.11,4,15.05,26.37,3,15.14,26.28,1,14.32,26.00,5,15.08,26.56,6,14.90,26.74
2,13.26,39.37,4,13.24,39.61,3,13.22,39.50,1,13.26,39.26,6,13.30,39.86,5,13.02,39.76
2,13.33,52.70,4,13.34,52.95,3,13.33,52.83,1,13.35,52.61,6,13.26,53.12,5,13.21,52.97
2,13.09,1:05.79,5,13.19,1:06.14,3,13.11,1:05.94,1,13.05,1:05.66,6,13.09,1:06.21,4,13.11,1:06.08
1,10.77,1:16.56,5,10.75,1:16.89,6,10.99,1:16.93,2,11.01,1:16.67,4,10.66,1:16.87,3,10.66,1:16.74
1,10.27,1:26.83,4,10.22,1:27.11,6,10.41,1:27.34,3,10.28,1:26.95,5,10.37,1:27.24,2,10.17,1:26.91
1,9.58,1:36.41,4,9.69,1:36.80,6,9.58,1:36.92,3,9.68,1:36.63,5,9.57,1:36.81,2,9.62,1:36.53
1,9.85,1:46.26,6,10.29,1:47.09,5,9.83,1:46.75,3,9.91,1:46.54,4,9.75,1:46.56,2,9.87,1:46.40
2,9.84,1:56.10,6,10.70,1:57.79,5,9.82,1:56.57,3,9.68,1:56.22,4,9.94,1:56.50,1,9.57,1:55.97
2,9.97,2:06.07,6,10.81,2:08.60,4,9.67,2:06.24,3,9.92,2:06.14,5,9.84,2:06.34,1,9.96,2:05.93
2,9.81,2:15.88,6,11.22,2:19.82,4,9.90,2:16.14,3,9.86,2:16.00,5,9.85,2:16.19,1,9.86,2:15.79
2,9.84,2:25.72,6,11.50,2:31.32,4,9.96,2:26.10,3,9.83,2:25.83,5,10.05,2:26.24,1,9.82,2:25.61
2,9.82,2:35.54,6,11.87,2:43.19,4,10.19,2:36.29,3,9.86,2:35.69,5,10.10,2:36.34,1,9.86,2:35.47
