Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME
5,8.95,8.95,2,8.61,8.61,4,8.95,8.95,3,8.80,8.80,1,8.56,8.56,6,8.98,8.98
6,12.52,21.47,5,12.83,21.44,2,12.13,21.08,4,12.40,21.21,3,12.54,21.10,1,11.90,20.89
5,11.08,32.55,6,11.16,32.61,4,11.36,32.45,3,11.19,32.41,1,10.89,32.00,2,11.32,32.22
1,10.37,42.92,6,10.97,43.59,4,10.91,43.36,5,11.05,43.46,2,10.97,42.98,3,10.93,43.15
2,10.93,53.86,6,10.67,54.26,4,10.77,54.13,3,10.53,53.99,5,11.20,54.18,1,10.69,53.84
4,10.52,1:04.38,6,10.57,1:04.84,5,10.52,1:04.66,1,10.20,1:04.20,2,10.16,1:04.35,3,10.51,1:04.36
2,11.05,1:15.43,6,11.05,1:15.89,5,11.07,1:15.73,1,11.11,1:15.31,3,11.15,1:15.50,4,11.23,1:15.59
2,11.15,1:26.59,6,11.18,1:27.07,5,11.27,1:27.01,1,11.28,1:26.59,3,11.16,1:26.67,4,11.13,1:26.72
1,10.54,1:37.13,5,10.34,1:37.41,6,10.56,1:37.58,2,10.56,1:37.16,4,10.73,1:37.41,3,10.58,1:37.31
2,10.11,1:47.25,3,9.96,1:47.38,6,10.13,1:47.72,1,9.89,1:47.05,5,10.20,1:47.61,4,10.17,1:47.49
2,9.94,1:57.19,3,9.89,1:57.28,6,9.97,1:57.69,1,10.07,1:57.13,5,9.83,1:57.45,4,9.92,1:57.41
3,9.93,2:07.13,4,10.13,2:07.41,5,9.82,2:07.51,1,9.79,2:06.92,6,10.24,2:07.69,2,9.58,2:06.99
3,9.92,2:17.06,4,9.72,2:17.14,6,10.47,2:17.99,2,9.94,2:16.87,5,10.24,2:17.93,1,9.39,2:16.38
0,,DQ,2,10.16,2:27.294,3,10.03,2:28.018,5,28.22,2:45.083,4,10.40,2:28.322,1,9.98,2:26.351
