Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Tina KOENIG POSITION,Tina KOENIG LAP TIME,Tina KOENIG ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
0,8.148,8.148,0,8.446,8.446,0,8.394,8.394,0,9.037,9.037,0,8.971,8.971,0,9.139,9.139
0,11.363,19.510,0,11.298,19.744,0,11.321,19.715,0,11.011,20.048,0,11.041,20.012,0,11.102,20.242
0,11.022,30.533,0,10.956,30.699,0,10.955,30.670,0,10.750,30.798,0,10.901,30.912,0,10.841,31.083
0,11.010,41.543,0,11.120,41.819,0,11.133,41.804,0,11.389,42.186,0,11.055,41.967,0,11.102,42.185
0,11.087,52.630,0,10.910,52.729,0,10.974,52.778,0,10.327,52.513,0,10.893,52.860,0,10.859,53.044
0,10.396,1:03.025,0,10.420,1:03.148,0,10.375,1:03.153,0,11.701,1:04.214,0,10.361,1:03.221,0,10.602,1:03.647
0,10.485,1:13.510,0,10.422,1:13.571,0,10.429,1:13.583,0,9.115,1:13.329,0,10.452,1:13.673,0,10.175,1:13.821
0,10.677,1:24.187,0,10.707,1:24.278,0,10.663,1:24.246,0,10.587,1:23.916,0,10.642,1:24.315,0,10.732,1:24.553
0,10.585,1:34.772,0,10.316,1:34.594,0,10.420,1:34.666,0,10.627,1:34.543,0,10.455,1:34.769,0,10.497,1:35.050
0,9.978,1:44.750,0,41.747,2:16.341,0,9.909,1:44.575,0,10.573,1:45.116,0,10.262,1:45.032,0,10.170,1:45.219
0,10.128,1:54.878,0,18.387,2:34.728,0,10.080,1:54.654,0,9.900,1:55.016,0,9.991,1:55.023,0,9.897,1:55.116
0,10.292,2:05.170,0,16.646,2:51.373,0,10.227,2:04.881,0,10.109,2:05.125,0,10.150,2:05.172,0,9.914,2:05.030
0,18.983,2:24.153,0,17.359,3:08.732,0,10.063,2:14.944,0,9.611,2:14.736,0,10.517,2:15.690,0,10.069,2:15.099
0,16.339,2:40.492,0,,,0,,,0,10.607,2:25.343,0,10.900,2:26.590,0,10.171,2:25.271
