Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,JOO Min-Jin POSITION,JOO Min-Jin LAP TIME,JOO Min-Jin ELAPSED TIME,Yoko IIZUKA POSITION,Yoko IIZUKA LAP TIME,Yoko IIZUKA ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME
1,7.554,7.554,2,7.630,7.630,4,7.847,7.847,3,7.709,7.709
1,9.832,17.385,2,9.854,17.483,4,9.900,17.746,3,9.863,17.571
4,9.846,27.231,2,9.637,27.120,1,9.190,26.936,3,9.648,27.219
4,10.336,37.566,2,9.710,36.829,3,10.210,37.145,1,9.373,36.591
4,10.66,48.225,2,9.77,46.592,3,10.26,47.402,1,9.71,46.293
