Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
1,8.08,8.08,2,8.22,8.22,5,8.70,8.70,6,8.96,8.96,3,8.42,8.42,4,8.64,8.64
1,11.34,19.42,2,11.30,19.52,4,10.91,19.61,5,10.65,19.61,3,11.14,19.56,6,11.01,19.65
3,11.41,30.83,4,11.42,30.94,5,11.41,31.02,1,11.07,30.68,2,11.24,30.80,6,11.57,31.22
2,10.96,41.79,3,10.92,41.86,6,10.90,41.92,1,10.87,41.55,4,11.07,41.87,5,10.68,41.90
4,10.15,51.94,5,10.18,52.04,6,10.39,52.31,2,10.26,51.81,3,10.04,51.91,1,9.84,51.74
3,10.44,1:02.38,5,10.47,1:02.51,6,10.31,1:02.62,2,10.49,1:02.30,4,10.56,1:02.47,1,10.45,1:02.19
5,10.46,1:12.84,3,10.16,1:12.67,6,10.30,1:12.92,2,10.34,1:12.64,4,10.36,1:12.83,1,10.33,1:12.52
5,10.00,1:22.84,2,9.75,1:22.42,6,10.04,1:22.96,3,9.94,1:22.58,4,9.86,1:22.69,1,9.85,1:22.37
5,9.87,1:32.71,2,9.76,1:32.18,6,9.88,1:32.84,3,9.74,1:32.32,4,9.76,1:32.45,1,9.77,1:32.14
5,10.01,1:42.72,1,9.45,1:41.63,6,9.90,1:42.74,3,9.54,1:41.86,4,9.70,1:42.15,2,9.64,1:41.78
6,10.86,1:53.58,2,9.81,1:51.44,5,10.14,1:52.88,3,9.66,1:51.52,4,9.79,1:51.94,1,9.58,1:51.36
6,11.46,2:05.04,2,9.62,2:01.06,5,10.31,2:03.19,3,9.67,2:01.19,4,9.96,2:01.90,1,9.51,2:00.87
6,11.91,2:16.95,2,9.87,2:10.93,5,10.83,2:14.02,3,9.80,2:10.99,4,10.29,2:12.19,1,9.64,2:10.51
6,12.62,2:29.570,3,10.18,2:21.109,5,11.39,2:25.401,2,9.97,2:20.956,4,10.64,2:22.824,1,10.00,2:20.508
