Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,7.17,7.17,3,7.65,7.65,2,7.20,7.20,4,7.74,7.74
1,9.40,16.57,4,9.74,17.39,2,9.37,16.57,3,9.53,17.27
2,9.20,25.77,3,9.78,27.17,1,9.09,25.66,4,10.10,27.37
2,9.37,35.14,3,9.42,36.59,1,9.23,34.89,4,9.46,36.83
2,9.47,44.602,0,,DQ,1,9.50,44.389,3,9.52,46.350
