MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME
1,7.71,7.71,4,8.42,8.42,5,8.48,8.48,2,7.81,7.81,3,8.03,8.03
1,9.72,17.43,5,10.89,19.31,4,10.35,18.83,2,9.76,17.57,3,9.68,17.71
1,9.25,26.68,5,10.34,29.65,4,9.48,28.31,3,9.25,26.82,2,9.05,26.76
3,9.45,36.13,5,10.62,40.27,4,9.68,37.99,2,9.30,36.12,1,9.28,36.04
3,9.73,45.86,5,10.91,51.162,4,9.96,47.95,2,9.52,45.64,1,9.51,45.55
