Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME
1,7.14,7.14,2,7.31,7.31,3,7.46,7.46,4,7.62,7.62
1,9.15,16.29,2,9.15,16.46,3,9.15,16.61,4,9.64,17.26
1,8.85,25.14,2,8.82,25.28,3,8.68,25.29,4,9.47,26.73
1,8.98,34.12,4,22.72,48.00,2,8.97,34.26,3,9.84,36.57
2,9.28,43.394,3,10.66,58.652,1,9.14,43.392,4,22.14,58.710
