Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,6.84,6.84,3,6.99,6.99,2,6.85,6.85,4,7.18,7.18
2,9.14,15.98,3,9.21,16.20,1,9.10,15.95,4,9.14,16.32
2,8.69,24.68,4,9.19,25.40,1,8.67,24.62,3,8.64,24.97
2,9.17,33.85,4,0.00,51.53,1,8.98,33.60,3,9.10,34.08
0,,DQ,2,11.50,1:03.023,1,11.50,45.097,0,,DQ
