Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,7.23,7.23,1,6.93,6.93,4,7.31,7.31,3,7.24,7.24
4,9.41,16.64,1,9.07,16.00,3,9.22,16.53,2,9.14,16.38
4,8.64,25.28,1,8.59,24.59,3,8.66,25.19,2,8.59,24.97
4,8.86,34.14,1,8.78,33.37,3,8.80,33.99,2,8.70,33.67
4,9.01,43.143,1,8.93,42.297,3,9.11,43.097,2,8.88,42.546
