Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
4,12.83,12.83,2,12.23,12.23,3,12.34,12.34,1,12.13,12.13
4,9.18,22.02,2,9.48,21.71,3,9.39,21.74,1,9.39,21.52
4,9.25,31.28,3,9.36,31.08,2,9.30,31.05,1,9.39,30.91
4,9.30,40.58,2,9.31,40.39,3,9.36,40.41,1,9.45,40.37
3,9.32,49.91,1,9.27,49.67,2,9.28,49.70,4,9.63,50.00
3,9.32,59.23,2,9.44,59.12,1,9.19,58.89,4,9.39,59.39
3,9.49,1:08.72,2,9.39,1:08.51,1,9.46,1:08.35,4,9.50,1:08.90
3,9.28,1:18.01,2,9.47,1:17.99,1,9.45,1:17.81,4,9.75,1:18.65
1,9.12,1:27.122,2,9.33,1:27.315,3,10.13,1:27.938,4,10.00,1:28.648
