Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Jana DOMBROVSKAYA POSITION,Jana DOMBROVSKAYA LAP TIME,Jana DOMBROVSKAYA ELAPSED TIME
3,16.23,16.23,5,16.86,16.86,1,15.75,15.75,2,16.00,16.00,4,16.48,16.48
3,20.46,36.69,5,20.19,37.05,1,20.61,36.36,2,20.53,36.53,4,20.38,36.86
3,17.87,54.56,5,17.89,54.94,1,17.91,54.27,2,17.91,54.44,4,17.87,54.73
4,16.90,1:11.46,5,16.69,1:11.63,2,16.81,1:11.08,3,16.82,1:11.26,1,16.17,1:10.90
4,14.41,1:25.87,5,14.43,1:26.06,2,14.48,1:25.56,3,14.37,1:25.63,1,14.48,1:25.38
4,13.46,1:39.33,5,13.48,1:39.54,2,13.53,1:39.09,3,13.57,1:39.20,1,13.59,1:38.97
4,12.88,1:52.21,5,12.80,1:52.34,2,12.90,1:51.99,3,12.88,1:52.08,1,12.90,1:51.87
4,11.99,2:04.20,5,11.96,2:04.30,2,11.98,2:03.97,3,11.99,2:04.07,1,11.97,2:03.84
3,10.86,2:15.06,5,10.94,2:15.24,2,11.02,2:14.99,4,11.01,2:15.08,1,11.06,2:14.90
1,9.74,2:24.80,5,9.97,2:25.21,2,9.92,2:24.91,4,10.05,2:25.13,3,10.21,2:25.11
1,9.61,2:34.41,3,9.36,2:34.57,2,9.58,2:34.49,4,9.86,2:34.99,5,10.16,2:35.27
2,9.55,2:43.96,3,9.52,2:44.09,1,9.46,2:43.95,4,9.75,2:44.74,5,10.10,2:45.37
2,9.63,2:53.59,3,9.54,2:53.63,1,9.42,2:53.37,4,10.14,2:54.88,5,10.32,2:55.69
3,9.56,3:03.155,2,9.51,3:03.143,1,9.52,3:02.896,4,10.59,3:05.474,5,10.67,3:06.360
