BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
1,13.06,13.06,3,13.33,13.33,2,13.19,13.19,5,13.61,13.61,4,13.48,13.48
1,9.60,22.66,2,9.51,22.84,3,9.66,22.85,5,9.51,23.12,4,9.52,23.00
1,9.02,31.68,2,8.98,31.82,3,9.08,31.93,5,9.02,32.14,4,9.02,32.02
1,8.94,40.62,2,8.82,40.64,3,8.88,40.81,5,8.88,41.02,4,8.89,40.91
3,9.04,49.66,2,8.95,49.59,1,8.71,49.52,5,8.86,49.88,4,8.86,49.77
3,8.86,58.52,2,8.85,58.44,1,8.84,58.36,5,8.88,58.76,4,8.86,58.63
3,8.93,1:07.45,1,8.81,1:07.25,2,8.91,1:07.27,5,8.94,1:07.70,4,8.85,1:07.48
5,9.53,1:16.98,1,8.89,1:16.14,2,8.98,1:16.25,4,9.08,1:16.78,3,9.04,1:16.52
5,9.80,1:26.786,1,9.08,1:25.22,2,9.08,1:25.331,4,9.34,1:26.120,3,9.15,1:25.678
