Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
6,8.658,8.658,3,8.455,8.455,5,8.497,8.497,2,8.387,8.387,1,8.165,8.165,4,8.493,8.493
1,9.527,18.185,3,11.939,20.394,2,11.501,19.998,5,12.114,20.501,6,12.580,20.744,4,11.981,20.473
1,10.207,28.392,4,11.014,31.407,3,10.969,30.966,6,10.951,31.451,2,10.086,30.830,5,10.955,31.428
1,10.573,38.965,4,10.482,41.889,2,10.615,41.580,6,10.528,41.979,3,10.924,41.753,5,10.521,41.949
1,10.631,49.595,5,11.415,53.304,2,11.376,52.956,6,11.409,53.388,3,11.224,52.977,4,11.314,53.262
1,10.897,1:00.492,6,11.726,1:05.029,2,11.438,1:04.393,4,11.387,1:04.775,3,11.705,1:04.681,5,11.759,1:05.021
1,10.951,1:11.443,6,12.982,1:18.011,2,11.903,1:16.296,4,11.963,1:16.737,3,11.677,1:16.358,5,11.740,1:16.760
1,10.972,1:22.414,5,9.593,1:27.604,2,10.824,1:27.119,6,11.339,1:28.076,3,11.126,1:27.484,4,10.840,1:27.600
1,11.195,1:33.608,6,32.959,2:00.563,5,10.139,1:37.257,3,8.802,1:36.878,4,9.686,1:37.169,2,8.280,1:35.879
1,6.841,1:40.449,6,16.819,2:17.381,3,9.177,1:46.434,2,9.205,1:46.083,4,9.965,1:47.133,5,11.786,1:47.665
2,16.274,1:56.722,6,12.211,2:29.591,3,10.360,1:56.793,1,10.619,1:56.701,4,10.333,1:57.466,5,10.062,1:57.727
5,12.136,2:08.858,6,12.059,2:41.649,2,10.541,2:07.333,1,10.333,2:07.034,3,10.818,2:08.283,4,10.842,2:08.568
5,12.054,2:20.912,6,12.002,2:53.651,1,10.413,2:17.746,2,10.723,2:17.757,3,10.769,2:19.052,4,11.563,2:20.131
5,12.73,2:33.638,6,13.37,3:07.019,2,11.40,2:29.141,1,10.94,2:28.688,3,11.58,2:30.626,4,11.49,2:31.620
