Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
1,8.67,8.67,5,9.33,9.33,2,8.85,8.85,4,9.18,9.18,7,9.53,9.53,3,8.97,8.97,6,9.46,9.46
3,11.73,20.40,5,11.37,20.70,2,11.54,20.39,1,11.14,20.32,7,11.37,20.90,4,11.60,20.57,6,11.34,20.80
4,10.62,31.02,6,10.47,31.17,2,10.55,30.94,1,10.51,30.83,7,10.39,31.29,3,10.43,31.00,5,10.32,31.12
4,10.79,41.81,6,10.87,42.04,2,10.67,41.61,1,10.66,41.49,7,10.83,42.12,3,10.71,41.71,5,10.81,41.93
6,10.72,52.53,5,10.48,52.52,2,10.64,52.25,1,10.65,52.14,7,10.64,52.76,3,10.65,52.36,4,10.51,52.44
6,10.77,1:03.30,5,10.65,1:03.17,2,10.60,1:02.85,1,10.58,1:02.72,7,10.62,1:03.38,3,10.59,1:02.95,4,10.63,1:03.07
5,10.14,1:13.44,4,10.18,1:13.35,2,10.25,1:13.10,1,10.30,1:13.02,7,10.19,1:13.57,5,10.49,1:13.44,3,10.14,1:13.21
6,10.03,1:23.47,4,9.98,1:23.33,2,9.96,1:23.06,1,10.01,1:23.03,7,10.08,1:23.65,5,10.01,1:23.45,3,9.96,1:23.17
7,9.56,1:33.03,3,9.38,1:32.71,1,9.37,1:32.43,4,9.77,1:32.80,6,9.37,1:33.02,5,9.42,1:32.87,2,9.44,1:32.61
7,9.61,1:42.64,3,9.43,1:42.14,1,9.52,1:41.95,4,9.47,1:42.27,5,9.32,1:42.34,6,9.62,1:42.49,2,9.43,1:42.04
7,9.63,1:52.27,4,9.48,1:51.62,1,9.40,1:51.35,5,9.52,1:51.79,3,9.25,1:51.59,6,9.40,1:51.89,2,9.44,1:51.48
7,9.85,2:02.12,4,9.40,2:01.02,1,9.22,2:00.57,5,9.30,2:01.09,2,9.01,2:00.60,6,9.34,2:01.23,3,9.33,2:00.81
7,10.16,2:12.28,5,9.66,2:10.68,2,9.14,2:09.71,4,9.29,2:10.38,1,8.87,2:09.47,6,9.49,2:10.72,3,9.50,2:10.31
7,10.72,2:23.00,5,9.94,2:20.62,2,9.21,2:18.92,3,9.59,2:19.97,1,9.14,2:18.61,6,10.22,2:20.94,4,9.92,2:20.23
