HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
3,12.65,12.65,4,12.84,12.84,1,12.60,12.60,2,12.61,12.61,5,13.06,13.06
3,9.46,22.11,4,9.38,22.22,2,9.44,22.04,1,9.36,21.97,5,9.28,22.34
3,9.46,31.57,4,9.46,31.68,2,9.42,31.46,1,9.43,31.40,5,9.47,31.81
1,8.74,40.31,4,8.92,40.60,3,9.03,40.49,2,9.00,40.40,5,8.88,40.69
1,8.83,49.14,5,8.96,49.56,3,8.76,49.25,2,8.81,49.21,4,8.73,49.42
1,8.84,57.98,5,8.77,58.33,2,8.81,58.06,3,8.92,58.13,4,8.81,58.23
1,8.82,1:06.80,5,8.84,1:07.17,2,8.84,1:06.90,3,8.83,1:06.96,4,8.84,1:07.07
1,8.79,1:15.59,5,8.87,1:16.04,3,8.78,1:15.68,2,8.70,1:15.66,4,8.84,1:15.91
1,8.95,1:24.54,5,8.93,1:24.972,3,8.96,1:24.64,2,8.94,1:24.60,4,8.83,1:24.741
