ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,14.69,14.69,3,14.85,14.85,5,15.09,15.09,4,14.95,14.95,1,14.56,14.56
1,10.54,25.23,3,10.69,25.54,5,10.69,25.78,4,10.65,25.60,2,10.80,25.36
1,10.35,35.58,3,10.31,35.85,5,10.33,36.11,4,10.31,35.91,2,10.35,35.71
2,10.05,45.63,1,9.70,45.55,5,9.81,45.92,4,9.88,45.79,3,9.93,45.64
5,9.91,55.54,1,9.47,55.02,4,9.51,55.43,3,9.47,55.26,1,9.38,55.02
4,9.05,1:04.59,2,9.42,1:04.44,5,9.36,1:04.79,3,9.31,1:04.57,1,9.34,1:04.36
3,9.22,1:13.81,2,9.20,1:13.64,5,9.61,1:14.40,4,9.67,1:14.24,1,9.15,1:13.51
3,9.08,1:22.89,2,9.11,1:22.75,5,9.52,1:23.92,4,9.58,1:23.82,1,9.09,1:22.60
0,9.05,1:31.94,0,9.04,1:31.79,5,9.99,1:33.91,4,9.75,1:33.57,1,9.07,1:31.67
