Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,13.31,13.31,4,13.59,13.59,3,13.46,13.46,1,13.19,13.19,5,13.70,13.70
1,10.34,23.65,4,10.35,23.94,3,10.30,23.76,2,10.54,23.73,5,10.34,24.04
2,9.78,33.43,4,9.75,33.69,1,9.56,33.32,3,9.81,33.54,5,9.74,33.78
1,9.62,43.05,5,9.75,43.44,2,9.83,43.15,3,9.62,43.16,4,9.52,43.30
1,9.56,52.61,5,9.56,53.00,2,9.54,52.69,4,9.67,52.83,3,9.45,52.75
1,9.32,1:01.93,5,9.41,1:02.41,2,9.37,1:02.06,4,9.43,1:02.26,3,9.40,1:02.15
1,9.14,1:11.07,5,9.03,1:11.44,2,9.11,1:11.17,4,9.08,1:11.34,3,9.09,1:11.24
1,9.06,1:20.13,5,9.03,1:20.47,2,9.04,1:20.21,4,9.07,1:20.41,3,9.05,1:20.29
1,9.09,1:29.22,4,8.93,1:29.370,2,9.10,1:29.31,5,9.20,1:29.592,3,9.08,1:29.346
