Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME
0,8.626,8.626,0,8.675,8.675,0,8.413,8.413,0,,,0,9.095,9.095
0,11.198,19.824,0,11.030,19.705,0,11.150,19.563,0,,21.883,0,11.060,20.155
0,11.105,30.929,0,11.250,30.955,0,11.157,30.720,0,9.709,31.592,0,11.131,31.285
0,11.537,42.466,0,11.523,42.478,0,11.497,42.217,0,10.943,42.535,0,11.511,42.796
0,11.488,53.954,0,11.426,53.904,0,11.578,53.795,0,11.719,54.254,0,11.639,54.436
0,11.307,1:05.261,0,11.483,1:05.387,0,11.313,1:05.107,0,11.447,1:05.702,0,11.359,1:05.794
0,11.407,1:16.668,0,11.411,1:16.798,0,11.456,1:16.563,0,11.289,1:16.990,0,11.310,1:17.104
0,10.870,1:27.538,0,10.926,1:27.723,0,10.788,1:27.352,0,10.819,1:27.809,0,10.726,1:27.830
0,10.335,1:37.873,0,10.316,1:38.039,0,10.324,1:37.675,0,10.249,1:38.058,0,10.353,1:38.183
0,10.265,1:48.138,0,10.257,1:48.296,0,10.355,1:48.030,0,10.212,1:48.270,0,10.096,1:48.278
0,9.888,1:58.026,0,10.425,1:58.721,0,10.342,1:58.372,0,10.143,1:58.413,0,9.543,1:57.821
0,9.464,2:07.490,0,10.895,2:09.615,0,10.465,2:08.836,0,10.360,2:08.773,0,9.485,2:07.306
0,9.766,2:17.256,0,11.525,2:21.140,0,10.817,2:19.653,0,10.527,2:19.300,0,9.944,2:17.250
0,10.267,2:27.523,0,12.225,2:33.365,0,11.278,2:30.930,0,11.171,2:30.471,0,10.180,2:27.430
