HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME
5,11.50,11.50,2,11.16,11.16,1,11.15,11.15,6,11.56,11.56,4,11.26,11.26,3,11.25,11.25
5,15.53,27.03,3,15.75,26.91,2,15.59,26.74,6,15.51,27.07,4,15.76,27.02,1,15.30,26.55
2,13.45,40.48,4,14.09,41.00,3,14.10,40.84,6,14.13,41.20,5,14.08,41.10,1,13.91,40.46
2,14.73,55.21,5,14.66,55.66,4,14.64,55.48,3,14.09,55.29,6,14.67,55.77,1,14.57,55.03
4,12.58,1:07.79,5,12.32,1:07.98,2,12.12,1:07.60,1,12.29,1:07.58,6,12.29,1:08.06,3,12.63,1:07.66
6,11.30,1:19.09,3,10.90,1:18.88,1,10.98,1:18.58,2,11.17,1:18.75,5,10.92,1:18.98,4,11.30,1:18.96
6,10.01,1:29.10,4,10.13,1:29.01,1,10.10,1:28.68,2,10.04,1:28.79,3,9.89,1:28.87,5,10.09,1:29.05
6,10.22,1:39.32,5,10.15,1:39.16,1,10.16,1:38.84,2,10.09,1:38.88,3,10.16,1:39.03,4,10.09,1:39.14
5,9.79,1:49.11,4,9.84,1:49.00,1,9.90,1:48.74,3,10.06,1:48.94,2,9.81,1:48.84,6,10.05,1:49.19
5,10.22,1:59.33,4,10.21,1:59.21,1,10.12,1:58.86,3,10.12,1:59.06,2,10.11,1:58.95,6,10.40,1:59.59
5,9.93,2:09.26,4,9.96,2:09.17,1,9.96,2:08.82,3,9.98,2:09.04,2,9.96,2:08.91,6,9.94,2:09.53
5,9.74,2:19.00,4,9.60,2:18.77,1,9.68,2:18.50,3,9.67,2:18.71,2,9.70,2:18.61,6,10.24,2:19.77
5,9.80,2:28.80,3,9.42,2:28.19,1,9.51,2:28.01,4,9.60,2:28.31,2,9.55,2:28.16,6,11.02,2:30.79
5,10.23,2:39.026,2,9.56,2:37.746,1,9.64,2:37.649,4,9.97,2:38.274,3,9.99,2:38.146,6,11.89,2:42.674
