Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
2,8.176,8.176,3,8.251,8.251,1,7.799,7.799,4,8.430,8.430
2,10.229,18.405,3,10.215,18.465,1,9.597,17.396,4,10.277,18.707
3,9.431,27.836,2,9.353,27.818,1,9.782,27.177,4,24.490,43.196
3,10.263,38.098,2,9.693,37.510,1,9.835,37.012,4,13.771,56.967
3,9.64,47.734,2,9.79,47.295,1,9.83,46.842,4,13.17,1:10.135
