GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
2,7.22,7.22,1,7.00,7.00,3,7.30,7.30,4,7.48,7.48
2,9.22,16.44,1,9.30,16.30,3,9.31,16.61,4,9.34,16.82
1,8.85,25.29,2,9.05,25.35,3,8.82,25.43,4,8.95,25.77
1,9.16,34.45,2,9.28,34.63,3,9.32,34.75,4,9.09,34.86
1,9.30,43.756,2,9.32,43.955,3,9.30,44.054,4,9.32,44.180
