Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME
1,9.67,9.67,4,9.91,9.91,5,9.97,9.97,3,9.79,9.79,6,10.17,10.17,2,9.70,9.70,7,10.31,10.31
2,12.77,22.44,4,12.77,22.68,5,12.86,22.83,3,12.74,22.53,6,12.81,22.98,1,12.41,22.11,7,12.76,23.07
2,11.50,33.94,4,11.51,34.19,5,11.48,34.31,3,11.50,34.03,6,11.44,34.42,1,11.43,33.54,7,11.44,34.51
2,10.98,44.92,4,10.87,45.06,6,10.83,45.14,3,10.97,45.00,5,10.69,45.11,1,11.04,44.58,7,10.79,45.30
3,10.68,55.60,4,10.68,55.74,5,10.72,55.86,2,10.59,55.59,6,10.88,55.99,1,10.82,55.40,7,10.80,56.10
6,10.68,1:06.28,3,10.26,1:06.00,4,10.24,1:06.10,1,10.28,1:05.87,5,10.26,1:06.25,2,10.55,1:05.95,7,10.32,1:06.42
6,9.79,1:16.07,1,9.66,1:15.66,2,9.63,1:15.73,3,9.89,1:15.76,4,9.53,1:15.78,5,9.91,1:15.86,7,9.77,1:16.19
5,9.46,1:25.53,1,9.51,1:25.17,2,9.52,1:25.25,7,10.02,1:25.78,3,9.56,1:25.34,4,9.64,1:25.50,6,9.43,1:25.62
4,9.49,1:35.02,1,9.55,1:34.72,2,9.54,1:34.79,7,9.52,1:35.30,3,9.56,1:34.90,5,9.64,1:35.14,6,9.64,1:35.26
4,9.42,1:44.44,2,9.42,1:44.14,1,9.21,1:44.00,6,9.59,1:44.89,3,9.34,1:44.24,5,9.62,1:44.76,7,9.70,1:44.96
4,9.45,1:53.89,2,9.09,1:53.23,1,9.14,1:53.14,5,9.44,1:54.33,3,9.10,1:53.34,6,9.84,1:54.60,7,10.06,1:55.02
4,9.75,2:03.64,2,9.03,2:02.26,1,9.08,2:02.22,5,9.53,2:03.86,3,9.05,2:02.39,6,10.09,2:04.69,7,10.61,2:05.63
5,10.21,2:13.85,1,8.90,2:11.16,2,9.06,2:11.28,4,9.92,2:13.78,3,9.01,2:11.40,6,10.50,2:15.19,7,11.11,2:16.74
3,10.85,2:24.700,1,9.13,2:20.290,6,21.18,2:32.451,2,10.13,2:23.905,0,,YC,4,10.82,2:26.001,5,11.63,2:28.366
