GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,7.08,7.08,2,7.32,7.32,3,7.41,7.41,4,7.57,7.57,5,7.70,7.70
1,9.17,16.25,2,9.08,16.40,3,9.12,16.53,4,9.23,16.80,5,9.41,17.11
3,8.84,25.09,1,8.53,24.93,2,8.55,25.08,4,8.61,25.41,5,8.96,26.07
3,8.84,33.93,1,8.74,33.67,2,8.69,33.77,4,8.81,34.22,5,9.06,35.13
3,8.90,42.813,1,8.87,42.54,2,8.87,42.64,4,9.10,43.298,5,9.29,44.403
