Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Ellen WIEGERS POSITION,Ellen WIEGERS LAP TIME,Ellen WIEGERS ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME
0,9.894,9.894,0,9.466,9.466,0,9.821,9.821,0,9.662,9.662,0,9.385,9.385,0,10.056,10.056
0,12.551,22.445,0,12.782,22.247,0,12.232,22.052,0,12.672,22.334,0,12.735,22.120,0,12.638,22.694
0,11.288,33.733,0,11.254,33.501,0,11.141,33.194,0,11.120,33.454,0,11.277,33.397,0,11.380,34.074
0,11.498,45.231,0,11.512,45.013,0,11.463,44.657,0,11.611,45.065,0,11.421,44.818,0,11.224,45.297
0,11.538,56.769,0,11.551,56.563,0,11.664,56.321,0,11.601,56.666,0,11.626,56.444,0,11.485,56.783
0,11.166,1:07.936,0,11.188,1:07.751,0,11.114,1:07.435,0,10.854,1:07.521,0,11.205,1:07.649,0,11.603,1:08.386
0,10.330,1:18.265,0,10.571,1:18.322,0,10.522,1:17.957,0,10.367,1:17.887,0,10.471,1:18.120,0,11.333,1:19.719
0,11.044,1:29.309,0,10.762,1:29.084,0,10.857,1:28.814,0,10.907,1:28.795,0,10.752,1:28.872,0,11.657,1:31.376
0,10.387,1:39.696,0,10.362,1:39.446,0,10.613,1:39.427,0,10.435,1:39.230,0,10.365,1:39.238,0,12.289,1:43.665
0,10.330,1:50.026,0,10.335,1:49.781,0,10.488,1:49.915,0,10.212,1:49.441,0,10.541,1:49.778,0,12.714,1:56.379
0,10.478,2:00.504,0,10.154,1:59.935,0,11.000,2:00.915,0,10.699,2:00.140,0,10.520,2:00.298,0,12.959,2:09.337
0,10.389,2:10.893,0,10.330,2:10.265,0,11.040,2:11.955,0,10.448,2:10.588,0,10.437,2:10.735,0,14.001,2:23.339
0,10.706,2:21.599,0,10.240,2:20.505,0,11.642,2:23.597,0,11.329,2:21.917,0,10.666,2:21.401,0,13.567,2:36.906
0,,,0,,,0,,,0,,,0,,,0,,
