Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
6,13.42,13.42,4,10.76,10.76,2,10.44,10.44,1,10.30,10.30,5,10.90,10.90,3,10.49,10.49
3,12.57,25.99,5,15.61,26.37,2,15.53,25.97,1,15.58,25.88,6,15.57,26.47,4,15.74,26.23
1,12.40,38.39,5,12.74,39.11,3,12.69,38.66,2,12.66,38.54,6,12.74,39.21,4,12.78,39.01
2,12.37,50.76,1,11.52,50.63,4,12.42,51.08,3,12.42,50.96,6,12.12,51.33,5,12.22,51.23
2,11.33,1:02.09,1,11.38,1:02.01,4,11.26,1:02.34,3,11.27,1:02.23,6,11.25,1:02.58,5,11.24,1:02.47
3,11.71,1:13.80,2,11.68,1:13.69,4,11.50,1:13.84,1,11.43,1:13.66,6,11.53,1:14.11,5,11.40,1:13.87
5,10.46,1:24.26,4,10.55,1:24.24,2,10.11,1:23.95,3,10.42,1:24.08,6,10.36,1:24.47,1,10.05,1:23.92
5,10.60,1:34.86,4,10.46,1:34.70,2,10.54,1:34.49,3,10.50,1:34.58,6,10.54,1:35.01,1,10.46,1:34.38
5,10.88,1:45.74,4,10.95,1:45.65,1,10.76,1:45.25,3,10.97,1:45.55,6,10.81,1:45.82,2,11.05,1:45.43
5,10.49,1:56.23,4,10.44,1:56.09,3,10.67,1:55.92,1,10.26,1:55.81,6,10.55,1:56.37,2,10.46,1:55.89
5,9.70,2:05.93,4,9.75,2:05.84,2,9.62,2:05.54,1,9.65,2:05.46,6,9.59,2:05.96,3,9.83,2:05.72
6,9.45,2:15.38,4,9.45,2:15.29,2,9.50,2:15.04,1,9.56,2:15.02,5,9.38,2:15.34,3,9.46,2:15.18
6,9.89,2:25.27,5,9.88,2:25.17,2,9.87,2:24.91,4,9.98,2:25.00,3,9.62,2:24.96,1,9.60,2:24.78
6,9.92,2:35.190,5,9.92,2:35.090,3,9.94,2:34.847,4,10.08,2:35.074,2,9.68,2:34.634,1,9.76,2:34.540
