SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,12.82,12.82,2,12.94,12.94,5,13.24,13.24,4,13.11,13.11,3,13.01,,6,13.37,13.37
2,10.00,22.82,1,9.75,22.69,5,9.75,22.99,4,9.86,22.97,2,9.81,,6,9.63,23.00
3,9.26,32.08,1,9.28,31.97,5,9.31,32.30,6,9.44,32.41,4,9.38,,2,8.99,31.99
3,9.09,41.17,2,9.09,41.06,5,9.07,41.37,6,9.09,41.50,4,9.09,,1,8.97,40.96
5,9.05,50.22,1,8.86,49.92,4,8.84,50.21,6,8.91,50.41,3,8.79,,2,9.07,50.03
4,8.93,59.15,1,8.89,58.81,3,8.83,59.04,5,8.83,59.24,2,8.84,,6,9.41,59.44
5,8.94,1:08.09,1,8.84,1:07.65,2,8.67,1:07.71,4,8.68,1:07.92,3,8.86,,6,8.79,1:08.23
5,8.87,1:16.96,1,8.80,1:16.45,2,8.83,1:16.54,3,8.78,1:16.70,4,9.00,,6,8.94,1:17.17
4,9.15,1:26.111,1,9.01,1:25.468,3,9.05,1:25.596,2,8.84,1:25.543,4,8.94,,5,9.37,1:26.548
