SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
1,9.44,9.44,3,9.68,9.68,2,9.58,9.58,4,9.90,9.90,5,10.04,10.04
1,12.70,22.14,3,12.69,22.37,2,12.68,22.26,4,12.69,22.59,5,12.66,22.70
1,11.84,33.98,3,11.80,34.17,2,11.82,34.08,5,11.70,34.29,4,11.50,34.20
2,11.28,45.26,5,11.21,45.38,4,11.24,45.32,2,10.97,45.26,1,11.04,45.24
2,10.43,55.69,5,10.71,56.09,3,10.52,55.84,1,10.30,55.56,4,10.67,55.91
2,10.64,1:06.33,4,10.47,1:06.56,3,10.61,1:06.45,1,10.66,1:06.22,5,10.82,1:06.73
2,10.74,1:17.07,4,10.72,1:17.28,3,10.70,1:17.15,1,10.74,1:16.96,5,10.74,1:17.47
1,10.05,1:27.12,4,10.20,1:27.48,3,10.12,1:27.27,2,10.23,1:27.19,5,10.15,1:27.62
3,9.96,1:37.08,5,9.93,1:37.41,2,9.73,1:37.00,1,9.70,1:36.89,4,9.64,1:37.26
3,9.66,1:46.74,5,10.04,1:47.45,1,9.56,1:46.56,2,9.80,1:46.69,4,9.69,1:46.95
2,9.50,1:56.24,5,10.67,1:58.12,1,9.59,1:56.15,3,9.72,1:56.41,4,9.49,1:56.44
3,9.67,2:05.91,5,11.35,2:09.47,1,9.71,2:05.86,4,9.80,2:06.21,2,9.44,2:05.88
3,9.79,2:15.70,5,11.84,2:21.31,2,9.75,2:15.61,4,9.98,2:16.19,1,9.40,2:15.28
0,9.94,2:25.64,5,12.17,2:33.48,0,10.02,2:25.63,4,10.25,2:26.44,1,9.96,2:25.24
