Sebastian HYDZIK POSITION,Sebastian HYDZIK LAP TIME,Sebastian HYDZIK ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,12.73,12.73,4,13.44,13.44,2,13.14,13.14,3,13.20,13.20,5,13.64,13.64
1,20.69,33.42,4,21.12,34.56,3,20.93,34.07,2,20.58,33.78,5,21.04,34.68
1,18.86,52.28,4,18.36,52.92,3,18.59,52.66,2,18.75,52.53,5,18.41,53.09
1,16.69,1:08.97,4,16.54,1:09.46,3,16.61,1:09.27,2,16.62,1:09.15,5,16.57,1:09.66
2,14.82,1:23.79,4,14.60,1:24.06,3,14.66,1:23.93,1,14.51,1:23.66,5,14.56,1:24.22
2,12.47,1:36.26,4,12.45,1:36.51,3,12.45,1:36.38,1,12.45,1:36.11,5,12.46,1:36.68
2,11.31,1:47.57,4,11.27,1:47.78,3,11.31,1:47.69,1,11.34,1:47.45,5,11.26,1:47.94
3,9.70,1:57.27,1,9.31,1:57.09,4,9.67,1:57.36,2,9.66,1:57.11,5,9.55,1:57.49
4,9.02,2:06.29,1,8.96,2:06.05,3,8.92,2:06.28,2,9.05,2:06.16,5,8.95,2:06.44
3,9.10,2:15.39,5,21.29,2:27.34,4,9.98,2:16.26,1,8.73,2:14.89,2,8.77,2:15.21
3,9.11,2:24.50,5,19.50,2:46.84,4,28.94,2:45.20,1,8.89,2:23.78,2,8.58,2:23.79
3,9.17,2:33.67,5,11.58,2:58.42,4,11.27,2:56.47,2,9.16,2:32.94,1,8.87,2:32.66
3,9.39,2:43.06,5,11.78,3:10.20,4,9.97,3:06.44,2,9.23,2:42.17,1,9.04,2:41.70
3,9.77,2:52.830,5,12.33,3:22.535,4,9.63,3:16.077,2,9.65,2:51.82,1,9.40,2:51.10
