BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
3,8.26,8.26,1,8.21,8.21,5,8.62,8.62,4,8.50,8.50,2,8.24,8.24,6,8.97,8.97
3,10.63,18.89,1,10.46,18.67,5,10.53,19.15,4,10.50,19.00,2,10.55,18.79,6,10.40,19.37
3,10.16,29.05,1,10.24,28.91,5,10.12,29.27,4,10.15,29.15,2,10.17,28.96,6,10.00,29.37
3,10.33,39.38,1,10.23,39.14,5,10.33,39.60,4,10.34,39.49,2,10.24,39.20,6,10.35,39.72
1,9.97,49.35,2,10.21,49.35,5,10.08,49.68,4,10.11,49.60,3,10.19,49.39,6,10.09,49.81
1,9.88,59.23,6,10.28,59.63,4,9.79,59.47,3,9.84,59.44,2,9.99,59.38,5,9.72,59.53
2,10.22,1:09.45,6,10.24,1:09.87,4,10.15,1:09.62,3,10.06,1:09.50,1,10.03,1:09.41,5,10.10,1:09.63
1,9.84,1:19.29,6,9.95,1:19.82,5,10.01,1:19.63,3,9.95,1:19.45,2,9.96,1:19.37,4,9.91,1:19.54
1,10.20,1:29.49,6,10.07,1:29.89,4,10.05,1:29.68,5,10.27,1:29.72,3,10.25,1:29.62,2,10.00,1:29.54
1,9.53,1:39.02,6,9.82,1:39.71,2,9.45,1:39.13,5,9.76,1:39.48,4,9.76,1:39.38,3,9.71,1:39.25
1,9.47,1:48.49,6,9.90,1:49.61,2,9.46,1:48.59,5,9.58,1:49.06,4,9.52,1:48.90,3,9.52,1:48.77
1,9.18,1:57.67,6,10.21,1:59.82,2,9.16,1:57.75,5,9.45,1:58.51,4,9.54,1:58.44,3,9.44,1:58.21
2,9.44,2:07.11,6,10.48,2:10.30,1,9.20,2:06.95,4,9.59,2:08.10,5,9.88,2:08.32,3,9.78,2:07.99
2,9.35,2:16.459,5,10.72,2:21.019,1,9.43,2:16.376,4,9.98,2:18.080,0,,PEN,3,9.93,2:17.916
